9|0|2|6||13|7
12|0|1|1||17|2
28|1|0|0||15|1
46|1|2|6||17|8
48|0|0|0||21|0
54|4|7|0||11|9
64|1|8|3||15|10
76|0|0|0||21|0
77|1|1|0||17|1
82|10|0|8||14|10
87|2|0|2||21|3
103|2|0|1||11|3
117|2|6|3||11|10
122|1|0|0||19|1
123|2|0|0||18|2
140|0|0|1||18|1
142|1|0|0||19|1
157|0|0|2||23|2
161|1|0|3||19|4
177|1|0|1||24|2
193|0|0|0||0|21
213|1|0|2||17|2
218|11|0|4||10|13
227|0|0|1||26|1
228|1|1|1||0|1
230|7|22|13||0|22
8|0|2|4||4|6
16|5|4|0||14|6
24|0|3|0||16|3
30|7|8|0||11|11
39|3|0|1||10|3
55|1|0|0||20|1
91|0|0|0||0|0
92|6|0|2||16|8
97|0|0|0||20|0
143|1|0|7||16|8
148|3|0|0||18|3
163|4|1|0||15|5
220|5|0|16||2|16
60|0|14|2||10|14
144|11|8|0||8|12
70|2|1|5||15|6
196|1|2|5||15|7
200|6|0|17||5|18
41|3|6|3||16|8
7|3|8|2||11|10
40|2|0|1||8|3
58|4|12|1||9|13
34|3|1|0||17|4
61|3|0|1||17|3
74|5|14|3||1|18
186|3|0|0||16|3
38|2|6|1||13|7
217|18|0|4||6|18
18|0|0|0||22|0
44|13|18|3||0|19
168|0|0|0||21|0
118|10|11|5||1|19
73|11|18|4||0|21
173|18|18|16||0|19
137|5|18|1||2|19
240|10|0|1||14|10
241|1|0|0||20|1
259|0|0|2||21|2
244|9|0|6||9|14
251|0|0|0||24|0
232|0|2|0||17|2
243|11|0|1||13|12
246|11|9|2||4|19
247|0|0|1||22|1
249|19|0|12||0|19
263|2|22|8||0|22
264|0|0|0||0|22
265|0|0|0||0|20
267|20|21|21||0|21
268|0|0|0||0|24
271|0|0|0||0|22
272|1|5|0||4|6
273|0|5|2||15|6
276|9|8|9||3|18
277|0|0|0||0|0
280|0|0|0||0|0
281|0|0|0||0|0
282|0|0|0||0|0
